versao,n_processos,n_maquinas,tamanho,tempo_total,tempo_comunicacao,tempo_computacao
mpi_coletiva,1,1,512,,,
mpi_coletiva,1,1,1024,,,
mpi_coletiva,1,1,2048,,,
mpi_coletiva,2,1,512,,,
mpi_coletiva,2,1,1024,,,
mpi_coletiva,2,1,2048,,,
mpi_coletiva,40,1,512,,,
mpi_coletiva,40,1,1024,,,
mpi_coletiva,40,1,2048,,,
mpi_coletiva,80,2,512,,,
mpi_coletiva,80,2,1024,,,
mpi_coletiva,80,2,2048,,,
mpi_coletiva,120,4,512,,,
mpi_coletiva,120,4,1024,,,
mpi_coletiva,120,4,2048,,,
mpi_coletiva,160,4,512,,,
mpi_coletiva,160,4,1024,,,
mpi_coletiva,160,4,2048,,,
mpi_p2p_bloqueante,1,1,512,,,
mpi_p2p_bloqueante,1,1,1024,,,
mpi_p2p_bloqueante,1,1,2048,,,
mpi_p2p_bloqueante,2,1,512,,,
mpi_p2p_bloqueante,2,1,1024,,,
mpi_p2p_bloqueante,2,1,2048,,,
mpi_p2p_bloqueante,40,1,512,,,
mpi_p2p_bloqueante,40,1,1024,,,
mpi_p2p_bloqueante,40,1,2048,,,
mpi_p2p_bloqueante,80,2,512,,,
mpi_p2p_bloqueante,80,2,1024,,,
mpi_p2p_bloqueante,80,2,2048,,,
mpi_p2p_bloqueante,120,4,512,,,
mpi_p2p_bloqueante,120,4,1024,,,
mpi_p2p_bloqueante,120,4,2048,,,
mpi_p2p_bloqueante,160,4,512,,,
mpi_p2p_bloqueante,160,4,1024,,,
mpi_p2p_bloqueante,160,4,2048,,,
mpi_p2p_naobloqueante,1,1,512,,,
mpi_p2p_naobloqueante,1,1,1024,,,
mpi_p2p_naobloqueante,1,1,2048,,,
mpi_p2p_naobloqueante,2,1,512,,,
mpi_p2p_naobloqueante,2,1,1024,,,
mpi_p2p_naobloqueante,2,1,2048,,,
mpi_p2p_naobloqueante,40,1,512,,,
mpi_p2p_naobloqueante,40,1,1024,,,
mpi_p2p_naobloqueante,40,1,2048,,,
mpi_p2p_naobloqueante,80,2,512,,,
mpi_p2p_naobloqueante,80,2,1024,,,
mpi_p2p_naobloqueante,80,2,2048,,,
mpi_p2p_naobloqueante,120,4,512,,,
mpi_p2p_naobloqueante,120,4,1024,,,
mpi_p2p_naobloqueante,120,4,2048,,,
mpi_p2p_naobloqueante,160,4,512,,,
mpi_p2p_naobloqueante,160,4,1024,,,
mpi_p2p_naobloqueante,160,4,2048,,,
